OBJECTID,codigo_ine,UGL_SG,NOMBRE,area_m2,SHAPE.STLength(),uso_suelo
293,18021,4.0,,5687.70408851,573.1426817274689,Sistemas Generales. Espacios libres
294,18021,4.0,,100.41688671,42.18905216647533,Sistemas Generales. Espacios libres
295,18021,4.0,,138.7773889,106.24868428595285,Sistemas Generales. Espacios libres
296,18021,4.0,,2083.67905395,184.91834544591578,Sistemas Generales. Espacios libres
297,18021,4.0,,231.04951101,79.22790937976362,Sistemas Generales. Espacios libres
298,18021,4.0,,881.596151745,138.68504436373215,Sistemas Generales. Espacios libres
299,18021,4.0,,199.101502785,58.341322084192896,Sistemas Generales. Espacios libres
300,18021,4.0,,2295.675645525,338.6771436015876,Sistemas Generales. Espacios libres
301,18021,4.0,,5189.13323817,478.82887511485677,Sistemas Generales. Espacios libres
302,18021,4.0,,1623.97846999,591.5353858452103,Sistemas Generales. Espacios libres
303,18021,4.0,,908.17472873,310.09209094073697,Sistemas Generales. Espacios libres
304,18021,4.0,,1184.197574835,298.3337698493586,Sistemas Generales. Espacios libres
305,18021,4.0,,148.23427657,75.42976298408357,Sistemas Generales. Espacios libres
306,18021,5.0,,535.648708045,114.4205894427245,Sistemas Generales. Equipamientos
307,18021,5.0,,6343.28527971,345.7559123380083,Sistemas Generales. Equipamientos
308,18021,4.0,,832.48436298,197.52506208039827,Sistemas Generales. Espacios libres
309,18021,4.0,,715.62479351,105.96217720005568,Sistemas Generales. Espacios libres
310,18021,4.0,,4753.52091028,363.2686929785782,Sistemas Generales. Espacios libres
311,18021,5.0,,7916.19105926,384.40674487226454,Sistemas Generales. Equipamientos
312,18021,4.0,,3590.14106934,469.9095997897667,Sistemas Generales. Espacios libres
313,18021,5.0,,626.95289366,124.36265095278965,Sistemas Generales. Equipamientos
314,18021,4.0,,909.832025415,158.78157916096083,Sistemas Generales. Espacios libres
315,18021,4.0,,13862.10576897,488.1026829189671,Sistemas Generales. Espacios libres
316,18021,4.0,,1906.213910575,178.1879437891537,Sistemas Generales. Espacios libres
317,18021,4.0,,887.780059605,145.71727916946622,Sistemas Generales. Espacios libres
318,18021,4.0,,306.97690509,70.1455099628439,Sistemas Generales. Espacios libres
319,18021,4.0,,819.42857072,225.09948996404185,Sistemas Generales. Espacios libres
320,18021,5.0,,635.36521258,138.5066716632952,Sistemas Generales. Equipamientos
321,18021,4.0,,158.58258574,54.70522734068988,Sistemas Generales. Espacios libres
322,18021,5.0,,10821.208763395,464.7422937268266,Sistemas Generales. Equipamientos
323,18021,4.0,,1428.77300699,147.22416432448628,Sistemas Generales. Espacios libres
324,18021,4.0,,743.341531495,140.71654478564957,Sistemas Generales. Espacios libres
325,18021,4.0,,350.228894435,90.43651679345919,Sistemas Generales. Espacios libres
326,18021,4.0,,155.264318995,99.12005134737053,Sistemas Generales. Espacios libres
327,18021,4.0,,467.515962965,212.3875991069315,Sistemas Generales. Espacios libres
328,18021,4.0,,351.10434569,87.36377286096307,Sistemas Generales. Espacios libres
329,18021,4.0,,2806.90275811,280.4634326093119,Sistemas Generales. Espacios libres
330,18021,4.0,,2774.11552915,378.93546554974176,Sistemas Generales. Espacios libres
331,18021,4.0,,3314.312535365,678.1959065545535,Sistemas Generales. Espacios libres
332,18021,1.0,P.P.E.,68824.67482969,1757.3689362998937,Industrial
333,18021,4.0,,231.31144292,113.39664551668423,Sistemas Generales. Espacios libres
