codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab,municipio_key,area_m2_SUNC,area_m2_Urbanizable,area_m2_desarrollo,sunc_m2_por_hab,urbanizable_m2_por_hab,comarca,precio_venta_eur_m2,precio_alquiler_eur_m2_mes,poblacion_aprox,tipo_dato,fuente,fecha,reserva_suelo_hab,indice_expansion,densidad_residencial
18187,Villanueva de las Torres,491,1.0,294168.155933855,29.416815593385497,294168.155933855,294168.155933855,294168.155933855,3561.5604268132724,599.1204805170163,VILLANUEVA DE LAS TORRES,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,16.691133628699212
18035,Cádiar,1491,4.0,289873.67392418004,28.987367392418005,72468.41848104501,47845.98605357,192179.995015905,10021.766207809664,194.415609607096,CADIAR,,,0.0,,,,,,,,,,0.0,0.0,51.436199079947805
18178,Torre-Cardela,700,1.0,284947.11599401,28.494711599401,284947.11599401,284947.11599401,284947.11599401,4477.728887678502,407.06730856287146,TORRE-CARDELA,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,24.565961917463834
18020,Arenas del Rey,608,2.0,281374.328932895,28.137432893289496,140687.1644664475,140687.1644664475,165960.05815871,5639.390993692281,462.78672521857726,ARENAS DEL REY,76210.0,0.0,76210.0,125.34539473684212,0.0,Comarca de Loja,590.0,,1800.0,E,Estimación por comarca/tipología,2026-05,125.34539473684211,0.2708491577359758,21.608225679500496
18018,Alquife,543,2.0,278416.790713775,27.8416790713775,139208.3953568875,139208.3953568875,266595.801788045,8497.11757176266,512.7381044452578,ALQUIFE,59255.0,0.0,59255.0,109.12523020257828,0.0,,,,,,,,109.12523020257827,0.21282839963814112,19.50313408210457
18189,Víznar,1006,1.0,270579.48029726,27.057948029726,270579.48029726,270579.48029726,270579.48029726,5712.675644594848,268.9656861801789,VIZNAR,,,0.0,,,Área Metropolitana,810.0,,900.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,37.17946382685055
18028,Benalúa de las Villas,1028,3.0,264554.90193260496,26.45549019326049,88184.96731086832,25989.455962085,224917.065638735,4574.679815883869,257.3491263935846,BENALUA DE LAS VILLAS,,,0.0,,,,,,,,,,0.0,0.0,38.85771885118507
18143,Nigüelas,1229,1.0,263121.14902596,26.312114902596,263121.14902596,263121.14902596,263121.14902596,5219.975916406311,214.0936932676648,NIGUELAS,,,0.0,,,Sur de Granada,720.0,,900.0,E,Estimación por comarca/tipología,2026-05,0.0,0.0,46.70852208382325
18049,Cogollos de Guadix,614,1.0,260025.344087825,26.002534408782505,260025.344087825,260025.344087825,260025.344087825,7344.325475578262,423.49404574564335,COGOLLOS DE GUADIX,40199.0,0.0,40199.0,65.47068403908794,0.0,,,,,,,,65.47068403908794,0.1545964688212183,23.6130828767452
18051,Colomera,1278,1.0,253266.364389555,25.3266364389555,253266.364389555,253266.364389555,253266.364389555,8015.004678758797,198.1739940450352,COLOMERA,59261.63964844,0.0,59261.63964844,46.370610053552426,0.0,,,,,,,,46.370610053552426,0.23398938027668084,50.46070776434718
18107,Jayena,979,1.0,252049.10813568,25.204910813568,252049.10813568,252049.10813568,252049.10813568,5544.953053883051,257.45567736024515,JAYENA,154718.0,40800.0,195518.0,158.0367722165475,41.67517875383044,Comarca de Loja,620.0,,1100.0,E,Estimación por comarca/tipología,2026-05,199.71195097037793,0.7757139132376979,38.841637141322344
18034,Cacín,549,2.0,251633.08721880493,25.163308721880497,125816.54360940248,125816.54360940248,144582.216013785,4686.588243675884,458.3480641508288,CACIN,,,0.0,,,,,,,,,,0.0,0.0,21.817480605109083
18902,"Valle, El",941,1.0,248523.96962834,24.852396962834,248523.96962834,248523.96962834,248523.96962834,11738.080062138226,264.10623764967056,EL VALLE,,,0.0,,,,,,,,,,0.0,0.0,37.8635510050494
18072,Escúzar,826,1.0,245145.64353299,24.514564353299,245145.64353299,245145.64353299,245145.64353299,3171.3765731221783,296.78649338134386,ESCUZAR,,,0.0,,,,,,,,,,0.0,0.0,33.69425571247578
18903,Nevada,1086,4.0,242871.147840105,24.28711478401049,60717.78696002625,47351.589027085,137570.42568721,12175.74033433374,223.63825767965469,NEVADA,93877.59997559,0.0,93877.59997559,86.44346222430018,0.0,,,,,,,,86.44346222430018,0.3865325330343258,44.715068449175035
