codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,municipio_merge,precio_venta_eur_m2,comarca,precio_imputado,score_precio,distancia_capital_km,distancia_costa_km,score_capital_norm,score_litoral,suelo_por_habitante,log_poblacion,score_superficie,score_log_poblacion,score_suelo_hab,coopscore_v6,IVU,IVEC,perfil_municipio
18911,Vegas del Genil,12424,1945911.3832433552,3,648637.1277477851,vegas del genil,1323.0,Vega de Granada,False,0.30462519936204147,14.02,67.1,0.9399093674343535,0,156.6251918257691,9.427465850964829,0.5250402984524696,0.7232606907550534,0.09933248038314127,55.606079097248454,48.03017668280478,41.115435604683796,Equilibrado
18062,Churriana de la Vega,16878,1834448.24297774,1,1834448.24297774,churriana de la vega,1903.0,Área Metropolitana,False,0.5358851674641149,7.81,60.6,0.9784592463840089,0,108.68872158891693,9.733825524688928,0.49454678661907225,0.7771811727347433,0.06656787513881768,57.64017562993238,46.29356051279833,52.522653607954325,Equilibrado
18017,Almuñécar,27544,1697002.899240285,14,121214.49280287747,almunecar,3067.0,Costa Tropical,False,1.0,78.91,44.8,0.5370910671053448,1,61.61061934505827,10.223576309906816,0.45694519737875583,0.8633791963449333,0.03438996491617246,61.9261641005443,34.62078015852986,94.53516785379735,Potencial Económico
18158,Pinos Puente,9807,1653602.592447675,4,413400.6481119188,pinos puente,1142.0,,False,0.2324561403508772,20.3,72.9,0.9009249487863927,0,168.6145194705491,9.190953658175992,0.445071964975651,0.6816336343144191,0.10752719279073278,50.68149809267809,43.497913008232395,36.56359098661186,Equilibrado
18150,Padul,9667,1625682.434090665,1,1625682.434090665,padul,1066.0,Sur de Granada,False,0.20215311004784686,22.3,27.9,0.8885095288348128,0,168.16824600089635,9.176576741823373,0.4374337118525022,0.6791032416890077,0.10722216461506734,50.046875858690875,42.858541107773384,35.25025406947419,Equilibrado
18056,Cúllar,3978,1446821.41796356,1,1446821.41796356,cullar,1142.0,,False,0.2324561403508772,117.46,53.8,0.29778384753864295,0,363.7057360391051,8.288785810426928,0.38850183626736895,0.5228486200014133,0.2408721526077685,38.446106672625874,32.60693334237436,30.212190414091623,Equilibrado
18068,Dílar,2384,1279643.76661701,2,639821.883308505,dilar,1142.0,,False,0.2324561403508772,19.39,95.8,0.9065739648643616,0,536.7633249232425,7.776954403322442,0.34276623544482343,0.43276432193458936,0.3591571151072424,40.963161009749875,46.044504522745676,26.608818491418663,Equilibrado
18100,Huétor Tájar,10749,1256013.982699005,7,179430.5689570007,huetor tajar,785.0,Vega de Granada,False,0.0901116427432217,43.07,109.0,0.7595753926376559,0,116.84937972825425,9.28266103355581,0.3363017208635256,0.6977744854305663,0.07214568971607266,44.96043625754661,34.170964587411575,31.51544512695152,Equilibrado
18132,Moclín,3503,1244629.5201638849,16,77789.3450102428,moclin,1142.0,,False,0.2324561403508772,33.56,36.6,0.8186107145074182,0,355.3038881427019,8.161660452056282,0.33318721823777603,0.5004740675289518,0.23512948469149644,40.87782769557901,40.08545974278206,29.317208315193167,Equilibrado
18127,Maracena,22294,1233802.696448645,4,308450.6741121613,maracena,1758.0,Área Metropolitana,False,0.47807017543859653,4.34,43.6,1.0,0,55.34236549962524,10.012117717061576,0.3302252715683028,0.8261616699441492,0.030105609772748926,53.164949927856284,37.41443187159761,52.169273815309836,Equilibrado
18014,Alhendín,10475,1176891.2085074452,6,196148.5347512409,alhendin,1794.0,Área Metropolitana,False,0.49242424242424243,11.84,101.7,0.9534421751815755,0,112.35238267374179,9.256842205627603,0.3146557198146404,0.6932302723194983,0.06907198961783902,47.963272584810206,36.873789182898705,47.426180589749634,Equilibrado
18011,Alfacar,5834,1168742.807089185,1,1168742.807089185,alfacar,1218.0,Área Metropolitana,False,0.26275917065390747,8.37,118.9,0.9749829287975665,0,200.3330145850506,8.671629544720656,0.31242652212221156,0.5902305910848948,0.12920680262090561,43.948692129702984,38.99718876068908,34.119590469552094,Equilibrado
18039,Caniles,3929,1139734.1608286,1,1139734.1608286,caniles,1142.0,,False,0.2324561403508772,107.43,3.9,0.3600471785958159,0,290.0825046649529,8.276394704863307,0.3044904860845577,0.5206677377197153,0.19055063120940866,35.54879663295619,28.141986812426463,30.124955122823703,Equilibrado
18071,Dúrcal,7234,1066737.592864735,1,1066737.592864735,durcal,1142.0,,False,0.2324561403508772,32.97,106.3,0.8222732633931342,0,147.4616523174917,8.886685639065584,0.28452046098299355,0.6280812915990599,0.09306919580782734,42.25676663413587,33.46356419124719,34.42149727799749,Equilibrado
